Sr No,Date,Startup Name,Industry Vertical,SubVertical,City Location,Investors Name,Investment Type,Amount in USD(K),Amount in INR(K),Remarks,City Tier
1716,2015-08-26,FoodTalkIndia,Online Food Community Platform,Unknown,Gurgaon,Udisclosed Ivestor,Seed Funding,500.0,44000.0,No Remark,Tier 1 India
1717,2015-08-28,Vyomo,Beauty & Lifestyle Mobile Marketplace,Unknown,Bengaluru,Rocket Iteret,Private Equity,2000.0,176000.0,Pre-Series A,Tier 1 India
1718,2015-08-28,RollMafia,Qsr Restaurant Chain,Unknown,Pune,Equetia Natural Resources,Seed Funding,160.0,14080.0,No Remark,Tier 1 India
1719,2015-08-31,DropKaffe,Online Coffee Delivery Platform,Unknown,Bengaluru,"Maish Sighal, P39 Capital & Others",Seed Funding,300.0,26400.0,No Remark,Tier 1 India
1720,2015-08-31,Reverie,Language Localization Cloud Platform,Unknown,Bengaluru,"Aspada Ivestmet Advisors, Qualcomm Vetures",Private Equity,4000.0,352000.0,Series A,Tier 1 India
1721,2015-07-01,Cloudcherry Analytics,Crm / Analytics Platform,Unknown,Chennai,"The Cheai Agels, IDG Vetures Idia",Seed Funding,1000.0,88000.0,No Remark,Tier 1 India
1722,2015-07-01,HandyHome,Hyperlocal Services,Unknown,Mumbai,"Bessemer Vetures, Kae Capital",Seed Funding,630.0,55440.0,No Remark,Tier 1 India
1723,2015-07-01,NxtGen,It Infrastructure & Data Center Services,Unknown,Bengaluru,"IFC, Axo Parters, Itel Capital",Private Equity,13500.0,1188000.0,Series A,Tier 1 India
1724,2015-07-02,BankBazaar,Online Financial Services,Unknown,Chennai,"Amazo, Fidelity Growth Parters, Mousse Parters",Private Equity,60000.0,5280000.0,Series C\\\\n(More here),Tier 1 India
1725,2015-07-02,Gozoomo,Used Car Marketplace,Unknown,Bengaluru,SAIF Parters,Private Equity,5000.0,440000.0,Series A,Tier 1 India
1726,2015-07-02,Zenatix,Internet Of Things Platform,Unknown,Gurgaon,"Raja Aada, Kual Bahl, Rohit Basal, Rahul Khaa",Seed Funding,161.0,14168.0,No Remark,Tier 1 India
