Sr No,Date,Startup Name,Industry Vertical,SubVertical,City Location,Investors Name,Investment Type,Amount in USD(K),Amount in INR(K),Remarks,City Tier,No Of Investors,Success
622,30-06-2017,Tagos Design,Technology,in-video discovery platform,Bengaluru,Udisclosed Ivestors,Private Equity,5000,440000,No Remark,Tier 1 India,1,1
623,30-06-2017,Urbanclap,Consumer Internet,Mobile Services Marketplace,Gurgaon,"Vy Capital, SAIF Parters, Accel Parter, Bessemer Veture Parters",Private Equity,21000,1848000,No Remark,Tier 1 India,4,1
624,01-05-2017,Ace2Three,Consumer Internet,Online Rummy playing Website,Hyderabad,Clairvest Group,Private Equity,73700,6485600,No Remark,Tier 1 India,1,1
625,01-05-2017,Power2Sme,E-Commerce,Buying portal for SMEs,Gurgaon,Iteratioal Fiace Corporatio,Private Equity,10000,880000,No Remark,Tier 1 India,1,1
626,02-05-2017,Innovapptive,Technology,Enterprise Mobility Solutions,Hyderabad,Hyderabad Agels,Seed Funding,1500,132000,No Remark,Tier 1 India,1,1
627,02-05-2017,4Tigo,Logistics,Truck Network company,Bengaluru,"Accel Parters, Nada Nilekai,",Private Equity,10000,880000,No Remark,Tier 1 India,2,1
628,02-05-2017,Zippserve,Consumer Internet,Real estate risk assessment platform,Bengaluru,udisclosed ivestors,Seed Funding,390,34320,No Remark,Tier 1 India,1,0
629,03-05-2017,Ola,Consumer Internet,Cab Aggregation App,Bengaluru,"Falco Edge Capital, Capital Advisers",Private Equity,104500,9196000,No Remark,Tier 1 India,2,1
630,03-05-2017,Sumeru,Technology,Software & Mobile development services,Bengaluru,udisclosed ivestors,Seed Funding,1000,88000,No Remark,Tier 1 India,1,0
631,05-05-2017,Balance App,Consumer Internet,Money Savings & Management App,Bengaluru,Raimatter,Seed Funding,233,20504,No Remark,Tier 1 India,1,0
632,08-05-2017,Yepme,E-Commerce,Private Label Fashion etailer,Gurgaon,"Raibow Digital Services Pvt. Ltd, ILearFiace Academy Pvt. Ltd.",Private Equity,700,61600,No Remark,Tier 1 India,2,0
633,08-05-2017,Mygreens,Food & Beverage,Cold-press Juices manufacturer,New Delhi,"Ajay Rela, LetsVeture",Seed Funding,1000,88000,No Remark,Tier 1 India,2,0
634,08-05-2017,Ace Turtle,Technology,Omni-Channel Platform,Bengaluru,"Vertex Vetures, C31 Vetures",Private Equity,5000,440000,No Remark,Tier 1 India,2,1
635,08-05-2017,Curefit,Technology,Health-Tech Platform,Bengaluru,"Trifecta Capital Advisors LLP, Prathithi Ivestmet Trust, RNT Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Saghvi & others",Private Equity,3200,281600,No Remark,Tier 1 India,6,1
636,09-05-2017,Curie Labs,Technology,Energy Analytics startup,New Delhi,Satoshi Studios,Seed Funding,50,4400,No Remark,Tier 1 India,1,0
637,10-05-2017,Vidooly,Consumer Internet,Video Intelligence platform,Noida,"Times Iteret, GVFL",Private Equity,1400,123200,No Remark,Tier 1 India,2,1
638,10-05-2017,Shopclues,E-Commerce,Online marketplace,Gurgaon,IoVe Capital,Private Equity,7700,677600,No Remark,Tier 1 India,1,1
639,10-05-2017,Fourth Ambit,Consumer Internet,Community Building platform,Bengaluru,1Crowd,Seed Funding,600,52800,No Remark,Tier 1 India,1,0
640,11-05-2017,Early Salary,Consumer Internet,Online lending platform,Pune,"DG Vetures Idia, Dewa Housig Fiace Corp",Private Equity,4000,352000,No Remark,Tier 1 India,2,1
641,12-05-2017,Legal Raasta,Consumer Internet,Legal Services to SMEs & Individuals,New Delhi,Impaix Capital,Private Equity,5000,440000,No Remark,Tier 1 India,1,1
642,12-05-2017,Remit Guru,Consumer Internet,Digital money transfer platform,Mumbai,"Ifibeam, CCaveue",Private Equity,466,41008,No Remark,Tier 1 India,2,0
643,12-05-2017,Aequm,E-Commerce,Cloud ECommerce platform,Bengaluru,udisclosed ivestors,Seed Funding,1000,88000,No Remark,Tier 1 India,1,0
644,15-05-2017,Zapty,Technology,Project Management tool,Bengaluru,IdeaSprig Capital,Seed Funding,500,44000,No Remark,Tier 1 India,1,0
645,16-05-2017,Telr,Technology,Online Payment Gateway,Mumbai,Iovatios East,Private Equity,3000,264000,No Remark,Tier 1 India,1,1
646,16-05-2017,Fynd,E-Commerce,Fashion ECommerce Portal,Mumbai,Rocketship,Private Equity,500,44000,No Remark,Tier 1 India,1,0
647,17-05-2017,Genie,Consumer Internet,hyperlocal delivery and logistics mobile app,Chennai,udisclosed ivestors,Seed Funding,250,22000,No Remark,Tier 1 India,1,0
648,17-05-2017,Paysense,Consumer Internet,Online Lending platform,Mumbai,Jugle Vetures,Private Equity,5300,466400,No Remark,Tier 1 India,1,1
649,18-05-2017,The Good Life,E-Commerce,Online Luxury Tea etailer,Mumbai,"Ayesha Takia Azmi, Abu Farha Azmi",Seed Funding,1000,88000,No Remark,Tier 1 India,2,0
650,18-05-2017,Paytm,E-Commerce,Mobile Wallet & ECommerce platform,Bengaluru,SoftBak Group,Private Equity,1400000,123200000,No Remark,Tier 1 India,1,1
651,19-05-2017,Ezcred,Consumer Internet,Consumer Lending Platform,Bengaluru,"Dheeraj Padey, Rajesh Yohaa, Akash Garg",Seed Funding,1000,88000,No Remark,Tier 1 India,3,0
652,22-05-2017,Delhivery,Logistics,ECommerce Logistics provider,New Delhi,Fosu Iteratioal,Private Equity,30000,2640000,No Remark,Tier 1 India,1,1
653,22-05-2017,Zipgrid,Consumer Internet,"Cashless, paperless solutions for Housing societies",Mumbai,"JLL, 1Crowd",Seed Funding,500,44000,No Remark,Tier 1 India,2,0
654,23-05-2017,Magicpin,Consumer Internet,Hyperlocal discovery platform,Gurgaon,"Lightspeed Veture Parters, Vy Capital,",Private Equity,6600,580800,No Remark,Tier 1 India,2,1
655,23-05-2017,Box8,Consumer Internet,Food Delivery Platform,Mumbai,Trifecta Capital,Private Equity,1000,88000,No Remark,Tier 1 India,1,0
656,24-05-2017,Gennext Students,Consumer Internet,Online Tutoring Services,Mumbai,Udisclosed Ivestors,Seed Funding,580,51040,No Remark,Tier 1 India,1,0
657,25-05-2017,Aye Finance,Finance,Non-Banking Financial Company,Gurgaon,Blue Orchard,Private Equity,8000,704000,No Remark,Tier 1 India,1,1
658,29-05-2017,Collateral Medical,E-Commerce,Online Medical equipment supplier,Mumbai,Carpediem Capital,Private Equity,3500,308000,No Remark,Tier 1 India,1,1
659,30-05-2017,Supr Daily,Consumer Internet,Subscription based delivery platform,Mumbai,"Soma Capital, Great Oaks Vetures, 122 West Vetures",Private Equity,1500,132000,No Remark,Tier 1 India,3,1
660,30-05-2017,Swiggy,Consumer Internet,Online food delivery platform,Bengaluru,"Nasper, Accel Idia, SAIF Parters, Bessemer Veture Parters, Harmoy Parters, Norwest Veture Parters",Private Equity,80000,7040000,No Remark,Tier 1 India,6,1
661,31-05-2017,Sastasundar,E-Commerce,Online Pharmacy,Kolkata,Rohto Pharmaceutical,Private Equity,5000,440000,No Remark,Tier 2/3 India,1,1
662,31-05-2017,Magicpin,Consumer Internet,Hyperlocal Discovery\\\\xc2\\\\xa0 & Rewards platform,Gurgaon,"Lightspeed Idia Parters, Waterbridge Vetures",Private Equity,7000,616000,No Remark,Tier 1 India,2,1
663,01-04-2017,Cashe,Consumer Internet,Online & Mobile based Lending platform,Mumbai,"Mathew Cyriac, Floritree Advisors,",Private Equity,3800,334400,No Remark,Tier 1 India,2,1
664,03-04-2017,Eruditus,Edtech,Executive Education Provider,Mumbai,Bertelsma Idia,Private Equity,8200,721600,No Remark,Tier 1 India,1,1
665,03-04-2017,Healthcare At Home,Health & Wellness,Home Healthcare Provider,Noida,Quadria Capital Advisors,Private Equity,40000,3520000,No Remark,Tier 1 India,1,1
666,04-04-2017,Waycool,Food & Beverage,Fresh-Produce Distribution Platform,Chennai,Aspada Ivestmets,Private Equity,2700,237600,No Remark,Tier 1 India,1,1
667,04-04-2017,Perfios,Technology,Fin-Tech Solutions,Bengaluru,Bessemer Veture Parters,Private Equity,6100,536800,No Remark,Tier 1 India,1,1
668,04-04-2017,Whatfix,Technology,Interactive Tech-Support Guides,Bengaluru,"Stellaris Veture Parters, Helio Veture Parters, Powerhouse Vetures, Gokul Rajaram, Girish Mathrubootham, Aeesh Reddy, Vispi Daver",Private Equity,3690,324720,No Remark,Tier 1 India,7,1
669,04-04-2017,Elastirun,Technology,App based Logistics & Distribution platform,Pune,"Kalaari Capital, Norwest Veture Parters",Private Equity,7000,616000,No Remark,Tier 1 India,2,1
670,04-04-2017,Trukky,Consumer Internet,Online Truck Aggregator & Booking platform,Ahmedabad,"Keyur Joshi, Pava Bakeri",Seed Funding,500,44000,No Remark,Tier 2/3 India,2,0
671,04-04-2017,Konsult App,Consumer Internet,App based Doctor Consulting platform,New Delhi,"Koe Bouwers, Lomesh Agarwal, Jeroe Mese, Pablo va de Bosch & Others",Seed Funding,500,44000,No Remark,Tier 1 India,4,0
672,05-04-2017,Fingerlix,Consumer Internet,Food Delivery Platform,Mumbai,Zephyr Peacock Idia,Private Equity,3000,264000,No Remark,Tier 1 India,1,1
673,06-04-2017,Medwell Ventures,Health & Wellness,Home-Based Healthcare provider,Bengaluru,"Mahidra Parters, Eight Roads Vetures, F-Prime Capital Parters",Private Equity,21000,1848000,No Remark,Tier 1 India,3,1
674,06-04-2017,Mech Mocha,Consumer Internet,Mobile gaming startup,Bengaluru,"Accel Parters, Shuwei Capital",Private Equity,5000,440000,No Remark,Tier 1 India,2,1
675,07-04-2017,Pharmeasy,E-Commerce,Online Pharmacy,Mumbai,"Bessemer Veture Parters, Orios Veture Parters, Trifecta Capital,",Private Equity,18000,1584000,No Remark,Tier 1 India,3,1
676,08-04-2017,Fastfox,Consumer Internet,Online rental discovery platform,Gurgaon,"Lightspeed Idia Parters, Blume Vetures, CyberAget Vetures, GrowX Vetures, IMJ Ivestmet Parters",Private Equity,4600,404800,No Remark,Tier 1 India,5,1
677,10-04-2017,Omnify,Technology,SaaS platform for SMEs,Bengaluru,"Raja Aada, L.D Sharma, Saurabh Arora",Seed Funding,150,13200,No Remark,Tier 1 India,3,0
678,10-04-2017,Capital Float,Consumer Internet,Online Lending Platform for SME,Bengaluru,Mahidra ad Mahidra Fiacial Services,Private Equity,2300,202400,No Remark,Tier 1 India,1,1
679,11-04-2017,Ninjacart,E-Commerce,B2B agri-marketing platform,Bengaluru,"Accel Parters, Nada Nilekaixe2x80x99s NRJN Trust, Mistletoe, Qualcomm Vetures, M&S Parters",Private Equity,5500,484000,No Remark,Tier 1 India,5,1
680,11-04-2017,Mergerware,Technology,Software solutions for M&As,Bengaluru,Philippe Bouchet,Seed Funding,100,8800,No Remark,Tier 1 India,1,0
